organism,organ,assay,cell_type_counts
Callithrix jacchus,secondary visual cortex,10x 3' v3,"{""GABAergic neuron"": 4583, ""astrocyte"": 6916, ""endothelial cell"": 1395, ""glutamatergic neuron"": 25182, ""microglial cell"": 403, ""oligodendrocyte"": 6657}"
Callithrix jacchus,temporal cortex,10x 3' v3,"{""GABAergic neuron"": 2562, ""astrocyte"": 2454, ""endothelial cell"": 252, ""glutamatergic neuron"": 10727, ""microglial cell"": 597, ""oligodendrocyte"": 2641}"
Callithrix jacchus,temporal lobe,10x 3' v3,"{""GABAergic neuron"": 9328, ""astrocyte"": 10855, ""endothelial cell"": 1428, ""glutamatergic neuron"": 37849, ""microglial cell"": 1772, ""oligodendrocyte"": 10024}"
Callithrix jacchus,thalamic complex,10x 3' v3,"{""astrocyte"": 1272, ""endothelial cell"": 649, ""ependymal cell"": 794, ""microglial cell"": 1335, ""neuron"": 5912, ""oligodendrocyte"": 4772}"
Callithrix jacchus,ventral lateral nucleus of thalamus,10x 3' v3,"{""astrocyte"": 2482, ""endothelial cell"": 544, ""ependymal cell"": 1187, ""microglial cell"": 743, ""neuron"": 3673, ""oligodendrocyte"": 6385}"
Callithrix jacchus,ventral thalamus,10x 3' v3,"{""astrocyte"": 1543, ""endothelial cell"": 836, ""ependymal cell"": 1, ""microglial cell"": 326, ""neuron"": 3699, ""oligodendrocyte"": 3901}"
Homo sapiens,Brodmann (1909) area 10,10x multiome,"{""Cajal-Retzius cell"": 45, ""GABAergic neuron"": 233, ""L2/3 intratelencephalic projecting glutamatergic neuron"": 3287, ""L4 intratelencephalic projecting glutamatergic neuron"": 4668, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 96, ""L5 intratelencephalic projecting glutamatergic neuron"": 4005, ""L6 intratelencephalic projecting glutamatergic neuron"": 2263, ""L6b glutamatergic cortical neuron"": 965, ""VIP GABAergic cortical interneuron"": 1432, ""astrocyte"": 2794, ""brain vascular cell"": 570, ""caudal ganglionic eminence derived cortical interneuron"": 858, ""committed oligodendrocyte precursor"": 396, ""corticothalamic-projecting glutamatergic cortical neuron"": 709, ""forebrain radial glial cell"": 357, ""glutamatergic neuron"": 1324, ""immature astrocyte"": 1980, ""intratelencephalic-projecting glutamatergic cortical neuron"": 3427, ""lamp5 GABAergic cortical interneuron"": 769, ""medial ganglionic eminence derived GABAergic cortical interneuron"": 338, ""microglial cell"": 1434, ""near-projecting glutamatergic cortical neuron"": 477, ""neural progenitor cell"": 620, ""oligodendrocyte"": 646, ""oligodendrocyte precursor cell"": 3385, ""pvalb GABAergic cortical interneuron"": 2431, ""sncg GABAergic cortical interneuron"": 377, ""sst GABAergic cortical interneuron"": 2819, ""unknown"": 132}"
Homo sapiens,Brodmann (1909) area 17,10x 3' v3,"{""GABAergic neuron"": 5206, ""astrocyte"": 820, ""blood vessel endothelial cell"": 4, ""glutamatergic neuron"": 35124, ""microglial cell"": 181, ""oligodendrocyte"": 1472, ""oligodendrocyte precursor cell"": 255}"
Homo sapiens,Brodmann (1909) area 17,10x multiome,"{""Cajal-Retzius cell"": 100, ""GABAergic neuron"": 14, ""L2/3 intratelencephalic projecting glutamatergic neuron"": 5520, ""L4 intratelencephalic projecting glutamatergic neuron"": 11779, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 7, ""L5 intratelencephalic projecting glutamatergic neuron"": 3435, ""L6 intratelencephalic projecting glutamatergic neuron"": 1319, ""L6b glutamatergic cortical neuron"": 244, ""VIP GABAergic cortical interneuron"": 1597, ""astrocyte"": 2655, ""brain vascular cell"": 981, ""caudal ganglionic eminence derived cortical interneuron"": 207, ""committed oligodendrocyte precursor"": 527, ""corticothalamic-projecting glutamatergic cortical neuron"": 614, ""forebrain radial glial cell"": 123, ""glutamatergic neuron"": 528, ""immature astrocyte"": 893, ""intratelencephalic-projecting glutamatergic cortical neuron"": 602, ""lamp5 GABAergic cortical interneuron"": 837, ""medial ganglionic eminence derived GABAergic cortical interneuron"": 95, ""microglial cell"": 2156, ""near-projecting glutamatergic cortical neuron"": 144, ""neural progenitor cell"": 134, ""oligodendrocyte"": 12363, ""oligodendrocyte precursor cell"": 4357, ""pvalb GABAergic cortical interneuron"": 2364, ""sncg GABAergic cortical interneuron"": 342, ""sst GABAergic cortical interneuron"": 2760, ""unknown"": 198}"
Homo sapiens,Brodmann (1909) area 17,Drop-seq,"{""GABAergic neuron"": 9922, ""astrocyte"": 941, ""blood vessel endothelial cell"": 16, ""glutamatergic neuron"": 67916, ""microglial cell"": 155, ""oligodendrocyte"": 1174, ""oligodendrocyte precursor cell"": 308}"
