organism,organ,assay,cell_type_counts
Homo sapiens,liver,10x 5' v1,"{""B-1 B cell"": 477, ""B-2 B cell"": 1389, ""CD16-negative, CD56-bright natural killer cell, human"": 1980, ""CD16-positive, CD56-dim natural killer cell, human"": 1050, ""CD4-positive helper T cell"": 202, ""CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell"": 104, ""CD8-positive, alpha-beta memory T cell"": 176, ""CD8-positive, alpha-beta memory T cell, CD45RO-positive"": 368, ""Kupffer cell"": 6702, ""Langerhans cell"": 3, ""T cell"": 1368, ""T follicular helper cell"": 10, ""alpha-beta T cell"": 424, ""alveolar macrophage"": 12, ""cell of skeletal muscle"": 2, ""classical monocyte"": 2224, ""common dendritic progenitor"": 15, ""common myeloid progenitor"": 1070, ""conventional dendritic cell"": 166, ""dendritic cell"": 11376, ""double negative thymocyte"": 194, ""double-positive, alpha-beta thymocyte"": 64, ""early T lineage precursor"": 22, ""early lymphoid progenitor"": 2741, ""effector memory CD4-positive, alpha-beta T cell"": 196, ""effector memory CD8-positive, alpha-beta T cell, terminally differentiated"": 358, ""endothelial cell"": 7024, ""epithelial cell"": 38, ""epithelial cell of nephron"": 2, ""erythrocyte"": 32388, ""erythroid lineage cell"": 2, ""eurydendroid cell"": 2, ""fibroblast"": 115, ""fraction A pre-pro B cell"": 2623, ""gamma-delta T cell"": 272, ""germinal center B cell"": 2, ""glial cell"": 12, ""granulocyte"": 888, ""granulocyte monocyte progenitor cell"": 1007, ""group 2 innate lymphoid cell"": 68, ""group 3 innate lymphoid cell"": 1886, ""hematopoietic multipotent progenitor cell"": 7722, ""hematopoietic stem cell"": 9711, ""hepatocyte"": 16354, ""immature B cell"": 1119, ""innate lymphoid cell"": 176, ""large pre-B-II cell"": 4731, ""late pro-B cell"": 861, ""lymphocyte"": 232, ""macrophage"": 54067, ""mast cell"": 2905, ""mature B cell"": 96, ""megakaryocyte"": 7022, ""megakaryocyte-erythroid progenitor cell"": 7669, ""memory B cell"": 286, ""mesothelial cell"": 110, ""monocyte"": 8043, ""mucosal invariant T cell"": 3068, ""myelocyte"": 6, ""myofibroblast cell"": 46, ""naive B cell"": 128, ""naive thymus-derived CD4-positive, alpha-beta T cell"": 1272, ""naive thymus-derived CD8-positive, alpha-beta T cell"": 526, ""natural killer cell"": 22516, ""neutrophil"": 21, ""non-classical monocyte"": 444, ""plasma cell"": 313, ""plasmablast"": 64, ""plasmacytoid dendritic cell"": 1051, ""pre-conventional dendritic cell"": 69, ""precursor B cell"": 422, ""pro-B cell"": 1305, ""progenitor cell"": 176, ""promonocyte"": 1441, ""promyelocyte"": 1198, ""regulatory T cell"": 370, ""skeletal muscle satellite cell"": 26, ""small pre-B-II cell"": 3843, ""smooth muscle cell"": 4, ""unknown"": 7319, ""vascular associated smooth muscle cell"": 4996}"
Homo sapiens,liver,10x 5' v2,"{""CD16-negative, CD56-bright natural killer cell, human"": 2006, ""CD16-positive, CD56-dim natural killer cell, human"": 4168, ""CD4-positive helper T cell"": 972, ""CD4-positive, CD25-positive, alpha-beta regulatory T cell"": 56, ""CD4-positive, alpha-beta memory T cell"": 217, ""CD8-positive, alpha-beta memory T cell"": 734, ""CD8-positive, alpha-beta memory T cell, CD45RO-positive"": 1244, ""T follicular helper cell"": 6, ""alpha-beta T cell"": 238, ""alveolar macrophage"": 10, ""central memory CD4-positive, alpha-beta T cell"": 172, ""central memory CD8-positive, alpha-beta T cell"": 23, ""classical monocyte"": 1188, ""conventional dendritic cell"": 125, ""dendritic cell, human"": 4, ""effector memory CD4-positive, alpha-beta T cell"": 648, ""effector memory CD4-positive, alpha-beta T cell, terminally differentiated"": 79, ""effector memory CD8-positive, alpha-beta T cell"": 346, ""effector memory CD8-positive, alpha-beta T cell, terminally differentiated"": 1953, ""erythroid lineage cell"": 3, ""gamma-delta T cell"": 2440, ""group 1 innate lymphoid cell"": 7, ""group 3 innate lymphoid cell"": 13, ""immature innate lymphoid cell"": 155, ""lymphocyte"": 108, ""macrophage"": 164, ""mast cell"": 3, ""memory B cell"": 74, ""mucosal invariant T cell"": 1917, ""naive B cell"": 84, ""naive thymus-derived CD4-positive, alpha-beta T cell"": 113, ""naive thymus-derived CD8-positive, alpha-beta T cell"": 38, ""non-classical monocyte"": 702, ""plasma cell"": 38, ""plasmablast"": 10, ""plasmacytoid dendritic cell"": 14, ""precursor B cell"": 4, ""progenitor cell"": 21, ""regulatory T cell"": 72, ""unknown"": 80}"
Homo sapiens,liver,BD Rhapsody Whole Transcriptome Analysis,"{""B cell"": 1440, ""T cell"": 25328, ""cholangiocyte"": 524, ""conventional dendritic cell"": 1249, ""endothelial cell"": 1025, ""fibroblast"": 321, ""hepatocyte"": 209, ""malignant cell"": 4051, ""mast cell"": 95, ""mononuclear phagocyte"": 11122, ""natural killer cell"": 12371, ""neutrophil"": 16769, ""plasma cell"": 454, ""plasmacytoid dendritic cell"": 146}"
Homo sapiens,liver,CEL-seq2,"{""B cell"": 6, ""centrilobular region hepatocyte"": 1817, ""cholangiocyte"": 1096, ""classical monocyte"": 2, ""conventional dendritic cell"": 42, ""effector memory CD8-positive, alpha-beta T cell"": 2495, ""endothelial cell of pericentral hepatic sinusoid"": 1403, ""endothelial cell of periportal hepatic sinusoid"": 537, ""epithelial cell"": 1321, ""hepatic stellate cell"": 47, ""hepatoblast"": 61, ""inflammatory macrophage"": 68, ""leukocyte"": 15, ""macrophage"": 989, ""mesothelial cell"": 1, ""midzonal region hepatocyte"": 733, ""mucosal invariant T cell"": 3, ""natural killer cell"": 699, ""neuroendocrine cell"": 3, ""non-classical monocyte"": 4, ""periportal region hepatocyte"": 252, ""plasma cell"": 189, ""stem cell"": 1}"
Homo sapiens,liver,Smart-seq,"{""endothelial cell"": 52, ""epithelial cell"": 46, ""hepatic stellate cell"": 69, ""stem cell"": 5}"
Homo sapiens,liver,Smart-seq2,"{""B cell"": 20, ""CD1c-positive myeloid dendritic cell"": 88, ""CD4-positive, alpha-beta T cell"": 263, ""CD8-positive, alpha-beta T cell"": 766, ""T cell"": 6, ""bronchus fibroblast of lung"": 22, ""capillary endothelial cell"": 28, ""classical monocyte"": 646, ""conventional dendritic cell"": 2, ""dendritic cell"": 6, ""endothelial cell"": 279, ""endothelial cell of lymphatic vessel"": 4, ""epithelial cell of lung"": 10, ""erythrocyte"": 9, ""fibroblast"": 27, ""fibroblast of lung"": 14, ""hepatic stellate cell"": 36, ""hepatocyte"": 42, ""intrahepatic cholangiocyte"": 159, ""macrophage"": 1397, ""malignant cell"": 502, ""mast cell"": 4, ""mature NK T cell"": 48, ""monocyte"": 93, ""myeloid cell"": 325, ""myeloid dendritic cell"": 9, ""natural killer cell"": 190, ""neutrophil"": 1562, ""non-classical monocyte"": 4, ""pericyte"": 14, ""plasma cell"": 149, ""plasmacytoid dendritic cell"": 6, ""pulmonary alveolar type 1 cell"": 2, ""pulmonary artery endothelial cell"": 2, ""regulatory T cell"": 28, ""smooth muscle cell"": 90, ""vein endothelial cell"": 328}"
Homo sapiens,liver,microwell-seq,"{""B cell"": 289, ""T cell"": 1123, ""cord blood hematopoietic stem cell"": 210, ""dendritic cell"": 2147, ""endocrine cell"": 1, ""endothelial cell"": 132, ""enterocyte"": 7, ""epithelial cell"": 3859, ""epithelial cell of exocrine pancreas"": 1, ""erythroid lineage cell"": 6756, ""erythroid progenitor cell"": 9279, ""fibroblast"": 1, ""goblet cell"": 7, ""macrophage"": 2052, ""mast cell"": 16, ""monocyte"": 659, ""myeloid cell"": 1, ""neutrophil"": 1080, ""plasma cell"": 712, ""primordial germ cell"": 22, ""professional antigen presenting cell"": 132, ""smooth muscle cell"": 15}"
Homo sapiens,liver,sci-RNA-seq3,"{""endothelial cell of vascular tree"": 5708, ""erythroblast"": 51879, ""hematopoietic stem cell"": 1360, ""hepatic stellate cell"": 2165, ""hepatoblast"": 72848, ""innate lymphoid cell"": 1194, ""megakaryocyte"": 2049, ""mesothelial cell"": 300, ""myeloid cell"": 3450}"
Homo sapiens,lobe of cerebral hemisphere,10x multiome,"{""L2/3 intratelencephalic projecting glutamatergic neuron"": 960, ""VIP GABAergic cortical interneuron"": 177, ""astrocyte"": 474, ""cerebral cortex GABAergic interneuron"": 93, ""committed oligodendrocyte precursor"": 15, ""endothelial cell"": 217, ""glutamatergic neuron"": 1197, ""lamp5 GABAergic cortical interneuron"": 92, ""microglial cell"": 293, ""oligodendrocyte"": 4730, ""oligodendrocyte precursor cell"": 292, ""pvalb GABAergic cortical interneuron"": 214, ""sst GABAergic cortical interneuron"": 261, ""unknown"": 338, ""vascular leptomeningeal cell"": 23}"
Homo sapiens,lower esophagus,10x 3' v2,"{""CD4-positive helper T cell"": 282, ""IgA plasma cell"": 492, ""IgG plasma cell"": 63, ""P/D1 enteroendocrine cell"": 25, ""activated CD8-positive, alpha-beta T cell"": 597, ""capillary endothelial cell"": 42, ""dendritic cell"": 93, ""endothelial cell of artery"": 216, ""enterocyte"": 7192, ""enteroendocrine cell"": 432, ""epithelial cell of esophagus"": 38094, ""erythrocyte"": 98, ""fibroblast"": 714, ""foveolar cell of stomach"": 3463, ""gamma-delta T cell"": 363, ""glandular cell of esophagus"": 8, ""intestine goblet cell"": 531, ""macrophage"": 396, ""mast cell"": 267, ""memory B cell"": 261, ""memory T cell"": 243, ""monocyte"": 537, ""mucous neck cell of gastric gland"": 755, ""natural T-regulatory cell"": 438, ""natural killer cell"": 222, ""parietal cell"": 5, ""peptic cell"": 17, ""stem cell"": 1817, ""unknown"": 492, ""vein endothelial cell"": 1113}"
Homo sapiens,lower esophagus,10x 3' v3,"{""CD4-positive helper T cell"": 30, ""IgA plasma cell"": 81, ""IgG plasma cell"": 21, ""P/D1 enteroendocrine cell"": 3, ""activated CD8-positive, alpha-beta T cell"": 126, ""dendritic cell"": 21, ""endothelial cell of artery"": 24, ""enterocyte"": 849, ""enteroendocrine cell"": 162, ""epithelial cell of esophagus"": 268, ""erythrocyte"": 62, ""fibroblast"": 225, ""foveolar cell of stomach"": 2742, ""gamma-delta T cell"": 90, ""glandular cell of esophagus"": 2, ""intestine goblet cell"": 141, ""macrophage"": 66, ""mast cell"": 285, ""memory B cell"": 9, ""memory T cell"": 51, ""monocyte"": 138, ""mucous neck cell of gastric gland"": 1080, ""natural T-regulatory cell"": 123, ""natural killer cell"": 129, ""peptic cell"": 6, ""stem cell"": 576, ""unknown"": 24, ""vein endothelial cell"": 183}"
Homo sapiens,lower layers of the cortex,10x 3' v3,"{""cell"": 130, ""erythrocyte"": 256, ""fibroblast"": 254, ""glioblast"": 11276, ""macrophage"": 264, ""neural crest cell"": 32, ""neuroblast (sensu Nematoda and Protostomia)"": 4701, ""neuroblast (sensu Vertebrata)"": 14628, ""neuron"": 20967, ""oligodendrocyte"": 404, ""radial glial cell"": 4257}"
Homo sapiens,lower leg skin,10x 3' v3,"{""skin fibroblast"": 1475}"
Homo sapiens,lower lobe of left lung,10x 3' v2,"{""B cell"": 224, ""CD14-positive monocyte"": 766, ""CD16-negative, CD56-bright natural killer cell, human"": 138, ""CD16-positive, CD56-dim natural killer cell, human"": 1297, ""CD4-positive, alpha-beta T cell"": 3483, ""CD4-positive, alpha-beta thymocyte"": 3056, ""CD8-positive, alpha-beta T cell"": 2738, ""CD8-positive, alpha-beta thymocyte"": 3350, ""IgA plasma cell"": 111, ""IgG plasma cell"": 114, ""T cell"": 1088, ""adventitial cell"": 2384, ""airway submucosal gland duct basal cell"": 10, ""alveolar capillary type 2 endothelial cell"": 1485, ""alveolar macrophage"": 1115, ""alveolar type 1 fibroblast cell"": 16, ""basal cell"": 1396, ""blood vessel endothelial cell"": 6030, ""blood vessel smooth muscle cell"": 32, ""bronchus fibroblast of lung"": 288, ""capillary endothelial cell"": 1493, ""central memory CD4-positive, alpha-beta T cell"": 714, ""ciliated cell"": 642, ""classical monocyte"": 480, ""club cell"": 429, ""conventional dendritic cell"": 90, ""dendritic cell"": 4, ""dendritic cell, human"": 138, ""deuterosomal cell"": 4, ""effector CD4-positive, alpha-beta T cell"": 2776, ""effector memory CD4-positive, alpha-beta T cell"": 861, ""effector memory CD8-positive, alpha-beta T cell"": 2877, ""effector memory CD8-positive, alpha-beta T cell, terminally differentiated"": 1103, ""endothelial cell of artery"": 499, ""endothelial cell of lymphatic vessel"": 1880, ""epithelial cell"": 244, ""epithelial cell of lung"": 36, ""erythrocyte"": 3, ""fibroblast"": 1684, ""fibroblast of lung"": 7031, ""gamma-delta T cell"": 676, ""goblet cell"": 48, ""immature alpha-beta T cell"": 171, ""innate lymphoid cell"": 120, ""intermediate monocyte"": 661, ""ionocyte"": 1, ""lung endothelial cell"": 1832, ""lung interstitial macrophage"": 12, ""lung macrophage"": 11476, ""lung multiciliated epithelial cell"": 3771, ""lung pericyte"": 867, ""lung resident memory CD4-positive, alpha-beta T cell"": 1000, ""lung resident memory CD8-positive, alpha-beta T cell"": 792, ""lung secretory cell"": 2, ""macrophage"": 338, ""mast cell"": 1735, ""mature NK T cell"": 800, ""mature alpha-beta T cell"": 98, ""megakaryocyte"": 2, ""memory B cell"": 870, ""mesothelial cell"": 154, ""metallothionein-positive alveolar macrophage"": 10, ""monocyte"": 204, ""mucosal invariant T cell"": 158, ""muscle cell"": 5, ""myeloid cell"": 1195, ""myeloid dendritic cell, human"": 710, ""myofibroblast cell"": 603, ""naive B cell"": 68, ""naive thymus-derived CD4-positive, alpha-beta T cell"": 660, ""natural killer cell"": 7095, ""neutrophil"": 205, ""non-classical monocyte"": 747, ""non-myelinating Schwann cell"": 2, ""pancreatic acinar cell"": 474, ""pericyte"": 339, ""plasma cell"": 252, ""plasmablast"": 7, ""plasmacytoid dendritic cell"": 53, ""plasmacytoid dendritic cell, human"": 24, ""pulmonary alveolar type 1 cell"": 9850, ""pulmonary alveolar type 2 cell"": 3966, ""pulmonary artery endothelial cell"": 880, ""pulmonary capillary endothelial cell"": 5512, ""regulatory T cell"": 631, ""respiratory tract suprabasal cell"": 6, ""smooth muscle cell"": 611, ""smooth muscle cell of the pulmonary artery"": 1150, ""unknown"": 7311, ""vein endothelial cell"": 841}"
Homo sapiens,lower lobe of left lung,10x 3' v3,"{""B cell"": 320, ""CD14-positive monocyte"": 6, ""CD4-positive, alpha-beta T cell"": 3996, ""CD8-positive, alpha-beta T cell"": 398, ""IgA plasma cell"": 12, ""IgG plasma cell"": 7, ""T cell"": 933, ""adventitial cell"": 150, ""airway submucosal gland duct basal cell"": 10, ""alveolar macrophage"": 28, ""basal cell"": 1487, ""blood vessel endothelial cell"": 461, ""bronchus fibroblast of lung"": 22, ""chondrocyte"": 14, ""ciliated cell"": 194, ""club cell"": 155, ""conventional dendritic cell"": 1, ""dendritic cell, human"": 53, ""effector CD4-positive, alpha-beta T cell"": 60, ""effector memory CD8-positive, alpha-beta T cell"": 6, ""endothelial cell of lymphatic vessel"": 195, ""epithelial cell"": 1727, ""epithelial cell of lung"": 472, ""erythrocyte"": 23, ""fibroblast"": 312, ""fibroblast of lung"": 4063, ""gamma-delta T cell"": 356, ""intermediate monocyte"": 469, ""lung endothelial cell"": 3365, ""lung interstitial macrophage"": 2, ""lung macrophage"": 14956, ""lung multiciliated epithelial cell"": 3628, ""lung perichondrial fibroblast"": 12, ""lung pericyte"": 176, ""lung resident memory CD4-positive, alpha-beta T cell"": 2, ""lung resident memory CD8-positive, alpha-beta T cell"": 16, ""lung secretory cell"": 4, ""mast cell"": 985, ""mature NK T cell"": 1974, ""memory B cell"": 4, ""mesothelial cell"": 124, ""mucosal invariant T cell"": 2, ""myeloid cell"": 202, ""myeloid dendritic cell, human"": 365, ""myofibroblast cell"": 10, ""naive B cell"": 2, ""naive thymus-derived CD4-positive, alpha-beta T cell"": 20, ""natural killer cell"": 4935, ""neuroendocrine cell"": 12, ""neutrophil"": 906, ""non-classical monocyte"": 354, ""pancreatic acinar cell"": 332, ""plasma cell"": 119, ""plasmacytoid dendritic cell"": 5, ""plasmacytoid dendritic cell, human"": 25, ""pulmonary alveolar type 1 cell"": 14001, ""pulmonary alveolar type 2 cell"": 2268, ""pulmonary artery endothelial cell"": 56, ""pulmonary capillary endothelial cell"": 6917, ""regulatory T cell"": 318, ""respiratory tract suprabasal cell"": 2, ""smooth muscle cell"": 1001, ""smooth muscle cell of the pulmonary artery"": 28, ""stromal cell"": 173, ""unknown"": 1774, ""vein endothelial cell"": 64}"
Homo sapiens,lower lobe of left lung,10x 5' transcription profiling,"{""CD14-positive monocyte"": 1432, ""CD16-negative, CD56-bright natural killer cell, human"": 257, ""CD16-positive, CD56-dim natural killer cell, human"": 3120, ""IgA plasma cell"": 98, ""IgG plasma cell"": 118, ""T follicular helper cell"": 2, ""adventitial cell"": 1604, ""airway submucosal gland duct basal cell"": 10, ""alveolar capillary type 2 endothelial cell"": 205, ""alveolar macrophage"": 12198, ""alveolar type 1 fibroblast cell"": 12, ""basal cell"": 157, ""blood vessel endothelial cell"": 6584, ""blood vessel smooth muscle cell"": 32, ""bronchus fibroblast of lung"": 36, ""capillary endothelial cell"": 3036, ""central memory CD4-positive, alpha-beta T cell"": 313, ""ciliated cell"": 972, ""classical monocyte"": 819, ""club cell"": 322, ""conventional dendritic cell"": 693, ""dendritic cell"": 162, ""dendritic cell, human"": 54, ""deuterosomal cell"": 26, ""effector CD4-positive, alpha-beta T cell"": 1184, ""effector memory CD4-positive, alpha-beta T cell"": 437, ""effector memory CD8-positive, alpha-beta T cell"": 2214, ""effector memory CD8-positive, alpha-beta T cell, terminally differentiated"": 161, ""endothelial cell of artery"": 611, ""endothelial cell of lymphatic vessel"": 1889, ""epithelial cell"": 8, ""erythrocyte"": 31, ""fibroblast"": 822, ""fibroblast of lung"": 2315, ""gamma-delta T cell"": 162, ""goblet cell"": 642, ""innate lymphoid cell"": 386, ""ionocyte"": 4, ""lung interstitial macrophage"": 90, ""lung macrophage"": 2457, ""lung multiciliated epithelial cell"": 499, ""lung pericyte"": 1348, ""lung resident memory CD4-positive, alpha-beta T cell"": 332, ""lung resident memory CD8-positive, alpha-beta T cell"": 818, ""macrophage"": 1449, ""mast cell"": 1557, ""megakaryocyte"": 4, ""memory B cell"": 564, ""mesothelial cell"": 96, ""metallothionein-positive alveolar macrophage"": 304, ""monocyte"": 1234, ""mucosal invariant T cell"": 562, ""myofibroblast cell"": 788, ""naive B cell"": 135, ""naive thymus-derived CD4-positive, alpha-beta T cell"": 1198, ""natural killer cell"": 4235, ""neuroendocrine cell"": 2, ""non-classical monocyte"": 567, ""pericyte"": 497, ""plasma cell"": 127, ""plasmablast"": 46, ""plasmacytoid dendritic cell"": 568, ""pulmonary alveolar type 1 cell"": 637, ""pulmonary alveolar type 2 cell"": 5198, ""pulmonary artery endothelial cell"": 1124, ""regulatory T cell"": 383, ""respiratory tract suprabasal cell"": 28, ""smooth muscle cell of the pulmonary artery"": 1590, ""vein endothelial cell"": 3315}"
Homo sapiens,lower lobe of right lung,10x 3' v2,"{""B cell"": 41, ""T cell"": 3240, ""blood vessel endothelial cell"": 12, ""endothelial cell of lymphatic vessel"": 4, ""epithelial cell"": 224, ""fibroblast"": 8, ""myeloid cell"": 693}"
Homo sapiens,lower lobe of right lung,10x 3' v3,"{""B cell"": 87, ""T cell"": 1141, ""blood vessel endothelial cell"": 277, ""endothelial cell of lymphatic vessel"": 19, ""epithelial cell"": 584, ""fibroblast"": 81, ""lung macrophage"": 3385, ""lung multiciliated epithelial cell"": 200, ""monocyte"": 853, ""myeloid cell"": 2163, ""natural killer cell"": 410, ""neutrophil"": 461, ""pulmonary alveolar type 1 cell"": 8372, ""pulmonary artery endothelial cell"": 767, ""pulmonary capillary endothelial cell"": 575, ""stromal cell"": 354, ""unknown"": 1345, ""vein endothelial cell"": 688}"
Homo sapiens,lumbar spinal cord,10x 3' v3,"{""GABAergic neuron"": 1043, ""astrocyte"": 6526, ""central nervous system macrophage"": 258, ""endothelial cell"": 356, ""ependymal cell"": 117, ""fibroblast"": 376, ""glutamatergic neuron"": 1946, ""lymphocyte"": 202, ""microglial cell"": 3877, ""oligodendrocyte"": 18480, ""oligodendrocyte precursor cell"": 3042, ""pericyte"": 185, ""somatomotor neuron"": 145}"
Homo sapiens,lumbar spinal cord,10x multiome,"{""GABAergic neuron"": 523, ""astrocyte"": 4859, ""central nervous system macrophage"": 121, ""endothelial cell"": 30, ""ependymal cell"": 3, ""fibroblast"": 54, ""glutamatergic neuron"": 782, ""lymphocyte"": 87, ""microglial cell"": 2336, ""oligodendrocyte"": 15969, ""oligodendrocyte precursor cell"": 1354, ""pericyte"": 15, ""somatomotor neuron"": 25}"
Homo sapiens,lung,10x 3' transcription profiling,"{""B cell"": 358, ""CD4-positive helper T cell"": 364, ""CD8-positive, alpha-beta memory T cell"": 153, ""T cell"": 1830, ""basal cell"": 98, ""ciliated epithelial cell"": 358, ""classical monocyte"": 112, ""club cell"": 118, ""conventional dendritic cell"": 76, ""dendritic cell"": 122, ""effector CD8-positive, alpha-beta T cell"": 31, ""endothelial cell"": 834, ""epithelial cell"": 3171, ""exhausted T cell"": 6, ""fibroblast"": 646, ""gamma-delta T cell"": 277, ""goblet cell"": 126, ""hepatocyte"": 14, ""ionocyte"": 306, ""macrophage"": 122, ""mast cell"": 31, ""myeloid cell"": 244, ""natural killer cell"": 37, ""neutrophil"": 54, ""plasma cell"": 2, ""plasmacytoid dendritic cell"": 4, ""pulmonary alveolar epithelial cell"": 1020, ""regulatory T cell"": 53}"
Homo sapiens,lung,10x 3' v1,"{""B cell"": 1294, ""CD1c-positive myeloid dendritic cell"": 442, ""CD4-positive, alpha-beta T cell"": 3255, ""CD8-positive, alpha-beta T cell"": 3786, ""T cell"": 1629, ""alveolar adventitial fibroblast"": 14, ""alveolar macrophage"": 402, ""alveolar type 1 fibroblast cell"": 10, ""bronchus fibroblast of lung"": 161, ""capillary endothelial cell"": 51, ""classical monocyte"": 251, ""conventional dendritic cell"": 45, ""dendritic cell"": 37, ""elicited macrophage"": 53, ""endothelial cell"": 26, ""endothelial cell of lymphatic vessel"": 22, ""epithelial cell"": 81, ""epithelial cell of lung"": 32, ""fibroblast"": 150, ""fibroblast of lung"": 74, ""lung macrophage"": 7, ""lung pericyte"": 6, ""macrophage"": 1134, ""malignant cell"": 1044, ""mast cell"": 494, ""mesothelial cell"": 1, ""mononuclear phagocyte"": 407, ""multiciliated columnar cell of tracheobronchial tree"": 1, ""multiciliated epithelial cell"": 4, ""myeloid cell"": 25, ""natural killer cell"": 849, ""non-classical monocyte"": 137, ""pericyte"": 16, ""plasma cell"": 589, ""plasmacytoid dendritic cell"": 79, ""pulmonary alveolar type 1 cell"": 114, ""pulmonary alveolar type 2 cell"": 211, ""pulmonary artery endothelial cell"": 18, ""regulatory T cell"": 869, ""respiratory basal cell"": 97, ""respiratory tract hillock cell"": 22, ""smooth muscle cell"": 2, ""tracheobronchial smooth muscle cell"": 6, ""unknown"": 1364, ""vein endothelial cell"": 44}"
