organism,assay_title,classification,lab,biosample,target,count
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,SUZ12,1
Homo sapiens,in situ Hi-C,in vitro differentiated cells,"Erez Aiden, Baylor",mesodermal cell,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",GM12892,TAF1,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,en,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HCT116,MAX,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,BACH1,1
Mus musculus,TF ChIP-seq,cell line,"Ross Hardison, PennState",G1E,CTCF,1
Homo sapiens,RNA microarray,cell line,"John Stamatoyannopoulos, UW",Panc1,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",HCT116,H3K79me2,1
Homo sapiens,TF ChIP-seq,cell line,"John Stamatoyannopoulos, UW",GM06990,CTCF,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",OCI-LY1,H3K4me2,1
Homo sapiens,RNA microarray,cell line,"John Stamatoyannopoulos, UW",HL-60,none,1
Mus musculus,TF ChIP-seq,cell line,"Michael Snyder, Stanford",CH12.LX,ELF1,1
Mus musculus,DNase-seq,cell line,"John Stamatoyannopoulos, UW",Patski,none,1
Homo sapiens,polyA plus RNA-seq,tissue,"Michael Snyder, Stanford",kidney,none,1
Homo sapiens,Control ChIP-seq,cell line,"John Stamatoyannopoulos, UW",NB4,none,1
Homo sapiens,microRNA counts,cell line,"Ali Mortazavi, UCI",H1,none,1
Homo sapiens,total RNA-seq,primary cell,"Thomas Gingeras, CSHL",cardiac ventricle fibroblast,none,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,da,1
Homo sapiens,TF ChIP-seq,cell line,"Vishwanath Iyer, UTA",GM10248,CTCF,1
Homo sapiens,Histone ChIP-seq,primary cell,"John Stamatoyannopoulos, UW",fibroblast of the aortic adventitia,H3K4me3,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",PC-3,H3K36me3,1
Homo sapiens,TF ChIP-seq,cell line,"Vishwanath Iyer, UTA",HepG2,POLR2A,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",IMR-90,ELK1,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HCT116,EGR1,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,ZFP36,1
Mus musculus,Control ChIP-seq,primary cell,"Bing Ren, UCSD",splenic B cell,none,1
Mus musculus,polyA plus RNA-seq,tissue,"John Stamatoyannopoulos, UW",thymus,none,1
Homo sapiens,RNA microarray,primary cell,"John Stamatoyannopoulos, UW",fibroblast of pulmonary artery,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,SMC3,1
Homo sapiens,DNase-seq,tissue,"Gregory Crawford, Duke",germinal center,none,1
Mus musculus,Histone ChIP-seq,cell line,"Bing Ren, UCSD",CH12.LX,H3K79me2,1
Mus musculus,Control ChIP-seq,cell line,"Bing Ren, UCSD",ES-Bruce4,none,1
Homo sapiens,intact Hi-C,cell line,"Erez Aiden, Baylor",GM20506,none,1
Homo sapiens,Control ChIP-seq,cell line,"John Stamatoyannopoulos, UW",GM12801,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZNF841,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,dati,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZFAT,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Valerie Reinke, Yale",whole organism,ztf-6,1
Homo sapiens,TF ChIP-seq,cell line,"Bradley Bernstein, Broad",MCF 10A,CTCF,1
Homo sapiens,Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",Caco-2,H3K27me3,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,ZNF121,1
Homo sapiens,intact Hi-C,primary cell,"Erez Aiden, Baylor","CD4-positive, alpha-beta memory T cell",none,1
Homo sapiens,intact Hi-C,primary cell,"Erez Aiden, Baylor","activated CD4-positive, alpha-beta memory T cell",none,1
Mus musculus,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",layer of hippocampus,H3K4me3,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,ZNF609,1
Mus musculus,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",T-cell,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZNF562,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,ZNF317,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM12286,none,1
Homo sapiens,intact Hi-C,tissue,"Erez Aiden, Baylor",prostate gland,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,E2F1,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZNF567,1
Homo sapiens,Control ChIP-seq,cell line,"Bradley Bernstein, Broad",Calu3,none,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,RNASEH2A,1
Homo sapiens,Control ChIP-seq,primary cell,"Bradley Bernstein, Broad",activated B cell,none,1
Homo sapiens,Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",Calu3,H3K9me3,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,MYPOP,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,PREB,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,POU2F1,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,RELA,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZNF780A,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,SMAD3,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21737,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02573,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,NR3C1,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,RPL29,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03120,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21365,none,1
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",upper lobe of right lung,H3K27ac,1
Mus musculus,TF ChIP-seq,tissue,"Bradley Bernstein, Broad",gastrocnemius,CTCF,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21485,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM19225,none,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,SAMHD1,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21775,none,1
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",upper lobe of right lung,H3K9me3,1
Homo sapiens,intact Hi-C,in vitro differentiated cells,"Erez Aiden, Baylor",mesothelial cell of epicardium,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,ELF4,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,CHCHD3,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",MCF-7,CTCF,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21352,none,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,RPS8,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19035,none,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,Adf1,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03267,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21587,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03473,none,1
Homo sapiens,DNAme array,primary cell,"Richard Myers, HAIB",aortic smooth muscle cell,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21414,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,TOPORS,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",K562,SEC63,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,FOXK1,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",K562,SMG5,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21424,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,PROX1,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19023,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19307,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03123,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,REPIN1,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02814,none,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",K562,SNW1,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03045,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19312,none,1
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",placenta,H3K27me3,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19435,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19042,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",duodenum,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,REL,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03460,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",trachea,none,1
Homo sapiens,total RNA-seq,primary cell,"Barbara Wold, Caltech",B cell,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21353,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21743,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,AFF4,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03558,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",rectum,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21443,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21357,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,CCDC6,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03111,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM19114,none,1
Homo sapiens,TF ChIP-seq,in vitro differentiated cells,"Michael Snyder, Stanford",glutamatergic neuron,FOSL1,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21435,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02820,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21298,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,SNAPC2,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03297,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03049,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,ESRRA,1
Homo sapiens,total RNA-seq,primary cell,"Thomas Gingeras, CSHL",smooth muscle cell of bladder,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19043,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZHX1,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21440,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02890,none,1
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",skin of body,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02464,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19314,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02855,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21619,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,HMGXB4,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03575,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,TGIF2,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZNF181,1
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",UCSD-AML1,none,1
Mus musculus,Histone ChIP-seq,cell line,"Ross Hardison, PennState",G1E,H3K9me3,1
Homo sapiens,TF ChIP-seq,primary cell,"John Stamatoyannopoulos, UW",cardiac muscle cell,CTCF,1
Mus musculus,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",gastrocnemius,H3K27ac,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,RPUSD2,1
Homo sapiens,Histone ChIP-seq,primary cell,"Bradley Bernstein, Broad",keratinocyte,H3K79me2,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,SMYD3,1
Homo sapiens,Histone ChIP-seq,cell line,"Peggy Farnham, USC",SK-N-SH,H3K27ac,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,ATF2,1
Homo sapiens,TF ChIP-seq,primary cell,"John Stamatoyannopoulos, UW",astrocyte of the cerebellum,CTCF,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,USF2,1
Mus musculus,TF ChIP-seq,tissue,"Bing Ren, UCSD",brain,POLR2A,1
Homo sapiens,TF ChIP-seq,cell line,"Bradley Bernstein, Broad",K562,REST,1
Mus musculus,TF ChIP-seq,in vitro differentiated cells,"Barbara Wold, Caltech",myocyte,MAX,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,GATAD2B,1
Homo sapiens,intact Hi-C,tissue,"Erez Aiden, Baylor",placenta,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HEK293,MEIS1,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,seq,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM20530,none,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",K562,SMG9,1
Homo sapiens,TF ChIP-seq,tissue,"Bradley Bernstein, Broad",upper lobe of right lung,CTCF,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,TEAD4,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,BRF2,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,CSRNP1,1
Homo sapiens,TF ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated CD4-positive, alpha-beta T cell",CTCF,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,SPAG9,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZBTB34,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,CG2129,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,MTERF2,1
Mus musculus,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",left cerebral cortex,H3K27ac,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19383,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,CBFB,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,SEPT11,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02570,none,1
Homo sapiens,PRO-cap,primary cell,"Haiyuan Yu, Cornell",B cell,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,FBXL19,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,CBX2,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",left lung,none,1
Homo sapiens,total RNA-seq,tissue,"Barbara Wold, Caltech",ureter,none,1
Homo sapiens,PRO-cap,primary cell,"Haiyuan Yu, Cornell",neutrophil,none,1
Homo sapiens,total RNA-seq,tissue,"Barbara Wold, Caltech",uterus,none,1
Homo sapiens,in situ Hi-C,cell line,"Erez Aiden, Baylor",GM12892,none,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,CG16813,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21526,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02676,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,ZNF184,1
Mus musculus,Histone ChIP-seq,in vitro differentiated cells,"Barbara Wold, Caltech",myocyte,H3ac,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,RUVBL2,1
Homo sapiens,Histone ChIP-seq,primary cell,"Bradley Bernstein, Broad",skeletal muscle myoblast,H3K36me3,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21338,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",K562,SMAD3,1
Homo sapiens,DNAme array,primary cell,"Richard Myers, HAIB",hepatocyte,none,1
Homo sapiens,small RNA-seq,tissue,"Thomas Gingeras, CSHL",metanephros,none,1
Homo sapiens,intact Hi-C,primary cell,"Erez Aiden, Baylor",T-helper 2 cell,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Peggy Farnham, USC",SK-N-SH,H3K9me3,1
Homo sapiens,TF ChIP-seq,cell line,"Peggy Farnham, USC",HCT116,POLR2A,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03567,none,1
Mus musculus,Histone ChIP-seq,cell line,"Michael Snyder, Stanford",ES-E14,H3K4me3,1
Homo sapiens,Histone ChIP-seq,cell line,"Peggy Farnham, USC",GM08714,H3K4me3,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",SK-N-MC,POLR2AphosphoS5,1
Homo sapiens,intact Hi-C,tissue,"Erez Aiden, Baylor",lower leg skin,none,1
Homo sapiens,intact Hi-C,primary cell,"Erez Aiden, Baylor",activated T-helper 2 cell,none,1
Homo sapiens,TF ChIP-seq,cell line,"John Stamatoyannopoulos, UW",GM12869,CTCF,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,NR2F2,1
Homo sapiens,RAMPAGE,tissue,"Thomas Gingeras, CSHL",parietal lobe,none,1
Mus musculus,TF ChIP-seq,cell line,"Barbara Wold, Caltech",C2C12,MYOG,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ARNT2,1
Homo sapiens,TF ChIP-seq,cell line,"Bradley Bernstein, Broad",K562,NCOR1,1
Homo sapiens,RAMPAGE,tissue,"Thomas Gingeras, CSHL",occipital lobe,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,ZBTB43,1
Mus musculus,Repli-chip,cell line,"David Gilbert, FSU",TT2,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,GABPB1,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,Doc3,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,SNAPC5,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZNF527,1
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,gt,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",K562,SMG7,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19355,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",mesenteric fat pad,none,1
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",K562,SETD1A,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21478,none,1
Homo sapiens,polyA plus RNA-seq,cell line,"Erez Aiden, Baylor",GM19147,none,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,IRF2,1
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",lower lobe of right lung,H3K9me3,1
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",lower lobe of right lung,H3K4me1,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",WTC11,PREB,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19428,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03196,none,1
Homo sapiens,Histone ChIP-seq,primary cell,"John Stamatoyannopoulos, UW",endothelial cell of umbilical vein,H3K4me3,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",body of pancreas,none,1
Homo sapiens,TF ChIP-seq,cell line,"Peggy Farnham, USC",HEK293,ZNF263,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03514,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",ureter,none,1
Mus musculus,TF ChIP-seq,cell line,"Michael Snyder, Stanford",MEL,ETS1,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM18508,none,1
Mus musculus,TF ChIP-seq,cell line,"Michael Snyder, Stanford",CH12.LX,MYC,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19334,none,1
Homo sapiens,MRE-seq,cell line,"Richard Myers, HAIB",H9,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03175,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19239,none,1
Homo sapiens,FAIRE-seq,cell line,"Jason Lieb, UNC",GM19239,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21359,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21611,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM21517,none,1
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",neural cell,H3K27me3,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19347,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM19475,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",GM12878,MAFF,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",ACC112,H3K4me1,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",SK-N-SH,CHD2,1
Mus musculus,intact Hi-C,tissue,"Erez Aiden, Baylor",adrenal gland,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",Loucy,H4K20me1,1
Homo sapiens,TF ChIP-seq,cell line,"Peggy Farnham, USC",K562,GATA1,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Valerie Reinke, Yale",whole organism,snpc-1.1,1
Mus musculus,Histone ChIP-seq,cell line,"Ross Hardison, PennState",E14TG2a.4,H3K27me3,1
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",parathyroid adenoma,H3K4me2,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02976,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02588,none,1
Mus musculus,ATAC-seq,cell line,"Ross Hardison, PennState",G1E,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03088,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM18486,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03476,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",OCI-LY3,H3K27ac,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03064,none,1
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",lower leg skin,none,1
Homo sapiens,small RNA-seq,cell line,"Thomas Gingeras, CSHL",AG04450,none,1
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",HeLa-S3,JUN,1
Homo sapiens,RNA microarray,cell line,"Gregory Crawford, Duke",HPDE6-E6E7,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",GM18873,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02571,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03351,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03298,none,1
Mus musculus,TF ChIP-seq,cell line,"Ross Hardison, PennState",E14TG2a.4,NANOG,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG02462,none,1
Homo sapiens,total RNA-seq,cell line,"Stephen Montgomery, Stanford",HG03074,none,1
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",parathyroid adenoma,H3K36me3,1
Mus musculus,ATAC-seq,cell line,"Ross Hardison, PennState",G1E-ER4,none,1
Homo sapiens,Histone ChIP-seq,cell line,"Bradley Bernstein, Broad",PC-3,H3K27ac,1
Homo sapiens,total RNA-seq,primary cell,"Thomas Gingeras, CSHL",mesangial cell,none,1
Homo sapiens,Repli-chip,in vitro differentiated cells,"David Gilbert, FSU",mesendoderm,none,1
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",THP-1,none,1
Homo sapiens,RRBS,primary cell,"Richard Myers, HAIB",hepatocyte,none,1
Homo sapiens,microRNA counts,in vitro differentiated cells,"Ali Mortazavi, UCI",myocyte,none,1
Mus musculus,TF ChIP-seq,tissue,"Bing Ren, UCSD",bone marrow,CTCF,1
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",Ishikawa,ZBTB7A,1
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",bone marrow,H3K4me3,1
Homo sapiens,Control ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,NR2F2,1
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Valerie Reinke, Yale",whole organism,ztf-18,1
