organism,assay_title,classification,lab,biosample,target,count
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",activated B cell,none,20
Mus musculus,scRNA-seq,primary cell,"Barbara Wold, Caltech",pyramidal neuron,none,20
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",adrenal gland,none,20
Homo sapiens,total RNA-seq,in vitro differentiated cells,"Manuel Garber, UMass",dendritic cell,none,20
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",layer of hippocampus,none,19
Mus musculus,microRNA-seq,tissue,"Ali Mortazavi, UCI",adrenal gland,none,19
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,ama-1,19
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",heart,none,19
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","naive thymus-derived CD4-positive, alpha-beta T cell",none,18
Mus musculus,total RNA-seq,tissue,"Barbara Wold, Caltech",left cerebral cortex,none,18
Mus musculus,total RNA-seq,tissue,"Barbara Wold, Caltech",adrenal gland,none,18
Mus musculus,microRNA-seq,tissue,"Ali Mortazavi, UCI",layer of hippocampus,none,18
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",adrenal gland,none,18
Mus musculus,microRNA-seq,tissue,"Ali Mortazavi, UCI",left cerebral cortex,none,18
Homo sapiens,Bru-seq,cell line,"Mats Ljungman, UMichigan",HCT116,none,18
Homo sapiens,Histone ChIP-seq,cell line,"Tim Reddy, Duke",A549,H3K27ac,18
Homo sapiens,TF ChIP-seq,cell line,"Tim Reddy, Duke",A549,NR3C1,18
Homo sapiens,TF ChIP-seq,cell line,"Tim Reddy, Duke",A549,EP300,18
Homo sapiens,polyA plus RNA-seq,cell line,"Tim Reddy, Duke",A549,none,18
Mus musculus,total RNA-seq,tissue,"Barbara Wold, Caltech",heart,none,18
Mus musculus,total RNA-seq,tissue,"Barbara Wold, Caltech",gastrocnemius,none,18
Homo sapiens,TF ChIP-seq,cell line,"Tim Reddy, Duke",A549,JUN,18
Homo sapiens,Control ChIP-seq,cell line,"Michael Snyder, Stanford",MCF-7,none,18
Drosophila melanogaster,polyA plus RNA-seq,tissue,"Susan Celniker, LBNL",head,none,18
Homo sapiens,total RNA-seq,primary cell,"John Stamatoyannopoulos, UW",inflammatory macrophage,none,18
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",muscle of arm,none,18
Homo sapiens,Control ChIP-seq,cell line,"Bradley Bernstein, Broad",HCT116,none,17
Homo sapiens,ATAC-seq,cell line,"Michael Snyder, Stanford",HCT116,none,17
Homo sapiens,TF ChIP-seq,cell line,"Bradley Bernstein, Broad",HCT116,CTCF,17
Homo sapiens,total RNA-seq,cell line,"Barbara Wold, Caltech",HCT116,none,17
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",kidney,none,17
Homo sapiens,total RNA-seq,primary cell,"John Stamatoyannopoulos, UW",suppressor macrophage,none,17
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",left lung,none,17
Homo sapiens,ChIA-PET,cell line,Charles Lee,HCT116,CTCF,16
Homo sapiens,WGS,tissue,"Thomas Gingeras, CSHL",transverse colon,none,16
Homo sapiens,PRO-cap,cell line,"Haiyuan Yu, Cornell",HCT116,none,16
Homo sapiens,Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",HCT116,H3K4me1,16
Homo sapiens,Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",HCT116,H3K4me3,16
Mus musculus,total RNA-seq,tissue,"Barbara Wold, Caltech",layer of hippocampus,none,16
Homo sapiens,PRO-seq,cell line,"John Lis, Cornell",HCT116,none,16
Homo sapiens,Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",HCT116,H3K27ac,16
Homo sapiens,Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",HCT116,H3K9me3,16
Homo sapiens,Control Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",HCT116,none,16
Mus musculus,microRNA-seq,tissue,"Ali Mortazavi, UCI",gastrocnemius,none,16
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",lung,none,16
Mus musculus,long read RNA-seq,tissue,"Ali Mortazavi, UCI",adrenal gland,none,16
